Recipe_ID,Source,Cuisine,Sub-Category,Dish Name,Servings,Calories per Serving,Total Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Image URL,Item Page Link
238,Rishi,Indian,Curry,Punjabi Kadhi,4,179,7,0,2,1,0,0,617,28,18,2,6,10,https://www.vegrecipesofindia.com/wp-content/uploads/2012/01/punjabi-kadhi-pakora-recipe-1a.jpg,https://www.myfitnesspal.com/recipe/view/160397469175021
202,Rishi,Indian,Sabzi,Beans Poriyal Recipe (Green Beans with Coconut),4,124,8,0,0,0,0,0,583,1,3,6,4,3,https://www.vegrecipesofindia.com/wp-content/uploads/2018/12/beans-poriyal-1a.jpg,https://www.myfitnesspal.com/recipe/view/96926157385645
203,Rishi,Indian,Sabzi,Baingan Bharta (Smoky Mashed Eggplant),4,110,4,0,2,1,0,0,595,620,12,7,10,3,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/baingan-bharta-recipe-2.jpg,https://www.myfitnesspal.com/recipe/view/97469491776893
194,Rishi,Indian,Bread,Makki Ki Roti (Maize Flour Flatbread),4,205,10,1,3,1,0,0,569,0,30,0,0,3,https://www.vegrecipesofindia.com/wp-content/uploads/2021/12/makki-ki-roti-3.jpg,https://www.myfitnesspal.com/recipe/view/274471814385085
303,Marion,Western,Breakfast,Basic Breakfast Porridge,1,192,4,1,0,0,0,0,153,3,30,5,1,7,,https://www.myfitnesspal.com/recipe/view/198899430870461
323,Marion,Western,Breakfast,Basic Breakfast porridge with choose your milk,1,209,4,0,0,0,0,0,145,6,32,5,1,8,,https://www.myfitnesspal.com/recipe/view/233789623020589
143,Marion,Western,Breakfast,Chia Seed Pudding,5,143,8,4,1,2,0,0,137,86,9,4,7,5,,https://www.myfitnesspal.com/recipe/view/18992235203949
312,Marion,Western,Breakfast,Frittata - Love and Lemons,1,395,23,10,8,3,0,392,1253,184,13,4,8,30,,https://www.myfitnesspal.com/recipe/view/194353216506941
163,Rishi,Western,Breakfast,Frozen Berry And Avocado Smoothie,1,392,16,7,5,1,0,0,390,565,37,7,28,21,,https://www.myfitnesspal.com/recipe/view/203701356588845
220,Rishi,Western,Breakfast,Marion’s Green Smoothie,3,312,9,3,3,1,0,7,155,744,45,6,41,12,,https://www.myfitnesspal.com/recipe/view/167569955614317
324,Marion,Western,Breakfast,Overnight Porridge,1,318,10,1,0,4,0,0,1,136,36,13,4,14,,https://www.myfitnesspal.com/recipe/view/274205232811773
147,Rishi,Western,Breakfast,Papaya and spinach smoothie,2,160,1,0,0,0,0,0,70,681,36,6,19,4,,https://www.myfitnesspal.com/recipe/view/98826991808493
